date,category,total_volume,average
2025-02-07,Crypto,1158052,1077085.5714285714
2025-02-08,Crypto,521809,1076749.857142857
2025-02-09,Crypto,574242,1074307.5714285714
2025-02-10,Crypto,1277638,1030356.2857142857
2025-02-11,Crypto,1901084,1110509.5714285714
2025-02-12,Crypto,1669418,1188232.5714285714
2025-02-13,Crypto,518893,1088733.7142857143
2025-02-14,Crypto,1364358,1118206.0
2025-02-15,Crypto,799794,1157918.142857143
2025-02-16,Crypto,866933,1199731.142857143
2025-02-17,Crypto,1347668,1209735.4285714286
2025-02-18,Crypto,2139363,1243775.2857142857
2025-02-19,Crypto,1900419,1276775.4285714286
2025-02-20,Crypto,1390226,1401251.5714285714
2025-02-21,Crypto,2055686,1500012.7142857143
2025-02-22,Crypto,358659,1436993.4285714286
2025-02-25,Crypto,1125497,1473931.142857143
2025-02-26,Crypto,2020999,1570121.2857142857
2025-02-27,Crypto,1609512,1494428.2857142857
2025-02-28,Crypto,1769958,1475791.0
2025-03-01,Crypto,647767,1369725.4285714286
2025-03-02,Crypto,787998,1188627.142857143
2025-03-03,Crypto,1940508,1414605.5714285714
2025-03-04,Crypto,1554487,1475889.857142857
2025-03-05,Crypto,1950937,1465881.0
2025-03-06,Crypto,1653037,1472098.857142857
2025-03-07,Crypto,2705387,1605731.5714285714
2025-03-08,Crypto,522005,1587765.5714285714
2025-03-09,Crypto,651244,1568229.2857142857
2025-03-10,Crypto,1748828,1540846.4285714286
2025-03-11,Crypto,1926478,1593988.0
2025-03-12,Crypto,1178539,1483645.4285714286
2025-03-13,Crypto,739841,1353188.857142857
2025-03-14,Crypto,895808,1094677.5714285714
2025-03-15,Crypto,746162,1126700.0
2025-03-16,Crypto,793452,1147015.4285714286
2025-03-17,Crypto,817543,1013974.7142857143
2025-03-18,Crypto,933729,872153.4285714285
2025-03-19,Crypto,1049730,853752.1428571428
2025-03-20,Crypto,1016316,893248.5714285715
2025-03-21,Crypto,921394,896903.7142857143
2025-03-22,Crypto,364912,842439.4285714285
2025-03-23,Crypto,362597,780888.7142857143
2025-03-24,Crypto,812582,780180.0
2025-03-25,Crypto,739915,752492.2857142857
2025-03-26,Crypto,774086,713114.5714285715
2025-03-27,Crypto,895225,695815.8571428572
2025-03-28,Crypto,1049470,714112.4285714285
2025-03-29,Crypto,555210,741297.8571428572
2025-03-30,Crypto,477643,757733.0
2025-03-31,Crypto,1334685,832319.1428571428
2025-04-01,Crypto,199109,755061.1428571428
2025-04-02,Crypto,1784145,899355.2857142857
2025-04-03,Crypto,1700065,1014332.4285714285
2025-04-04,Crypto,1300327,1050169.142857143
2025-04-05,Crypto,484747,1040103.0
2025-04-06,Crypto,924448,1103932.2857142857
2025-04-07,Crypto,1339513,1104622.0
2025-04-08,Crypto,1025851,1222728.0
2025-04-09,Crypto,1239435,1144912.2857142857
2025-04-10,Crypto,1161202,1067931.857142857
2025-04-11,Crypto,938759,1016279.2857142857
2025-04-12,Crypto,528633,1022548.7142857143
2025-04-13,Crypto,531548,966420.1428571428
2025-04-14,Crypto,1227719,950449.5714285715
2025-04-15,Crypto,1311442,991248.2857142857
2025-04-16,Crypto,1132820,976017.5714285715
2025-04-17,Crypto,1043660,959225.8571428572
2025-04-18,Crypto,569138,906422.8571428572
2025-04-19,Crypto,520215,905220.2857142857
2025-04-20,Crypto,485002,898570.8571428572
2025-04-21,Crypto,1084324,878085.8571428572
2025-04-22,Crypto,1395687,890120.8571428572
2025-04-23,Crypto,1270223,909749.8571428572
2025-04-24,Crypto,1376516,957300.7142857143
2025-04-25,Crypto,1279734,1058814.4285714286
2025-04-26,Crypto,395407,1040984.7142857143
2025-04-27,Crypto,439533,1034489.1428571428
2025-04-28,Crypto,1435725,1084689.2857142857
2025-04-29,Crypto,1142503,1048520.1428571428
2025-04-30,Crypto,1085691,1022158.4285714285
2025-05-01,Crypto,1089979,981224.5714285715
2025-05-02,Crypto,1166021,964979.8571428572
2025-05-03,Crypto,470094,975649.4285714285
2025-05-04,Crypto,592891,997557.7142857143
2025-05-05,Crypto,1122368,952792.4285714285
2025-05-06,Crypto,1189548,959513.1428571428
2025-05-07,Crypto,1217390,978327.2857142857
2025-05-08,Crypto,1344002,1014616.2857142857
2025-05-09,Crypto,1087215,1003358.2857142857
2025-05-10,Crypto,717779,1038741.8571428572
2025-05-11,Crypto,549879,1032597.2857142857
2025-05-12,Crypto,1247600,1050487.5714285714
2025-05-13,Crypto,1091878,1036534.7142857143
2025-05-14,Crypto,927092,995063.5714285715
2025-05-15,Crypto,1119963,963058.0
2025-05-16,Crypto,1196521,978673.1428571428
2025-05-17,Crypto,496991,947132.0
2025-05-18,Crypto,610462,955786.7142857143
2025-05-19,Crypto,1208568,950210.7142857143
2025-05-20,Crypto,1276168,976537.8571428572
2025-05-21,Crypto,1478398,1055295.857142857
2025-05-22,Crypto,1049018,1045160.8571428572
2025-05-23,Crypto,1216388,1047999.0
2025-05-24,Crypto,624343,1066192.142857143
2025-05-25,Crypto,571301,1060597.7142857143
2025-05-26,Crypto,539885,965071.5714285715
2025-05-27,Crypto,1079300,936947.5714285715
2025-05-28,Crypto,929699,858562.0
2025-05-29,Crypto,1261873,888969.8571428572
2025-05-30,Crypto,1302275,901239.4285714285
2025-05-31,Crypto,759514,920549.5714285715
2025-06-01,Crypto,724432,942425.4285714285
2025-06-02,Crypto,1497965,1079294.0
2025-06-03,Crypto,1316925,1113240.4285714286
2025-06-04,Crypto,1173659,1148091.857142857
2025-06-05,Crypto,1577662,1193204.5714285714
2025-06-06,Crypto,1461670,1215975.2857142857
2025-06-07,Crypto,462090,1173486.142857143
2025-06-08,Crypto,361464,1121633.5714285714
2025-06-09,Crypto,1347412,1100126.0
2025-06-10,Crypto,1931151,1187872.5714285714
2025-06-11,Crypto,1148459,1184272.5714285714
2025-06-12,Crypto,1530705,1177564.4285714286
2025-06-13,Crypto,1881578,1237551.2857142857
2025-06-14,Crypto,753890,1279237.0
2025-06-15,Crypto,641215,1319201.4285714286
2025-06-16,Crypto,1419362,1329480.0
2025-06-17,Crypto,1981674,1336697.5714285714
2025-06-18,Crypto,1241946,1350052.857142857
2025-06-19,Crypto,732457,1236017.4285714286
2025-06-20,Crypto,1434428,1172138.857142857
2025-06-21,Crypto,699487,1164367.0
2025-06-22,Crypto,642006,1164480.0
2025-06-23,Crypto,1953243,1240748.7142857143
2025-06-24,Crypto,1044300,1106838.142857143
2025-06-25,Crypto,1611220,1159591.5714285714
2025-06-26,Crypto,1611034,1285102.5714285714
2025-06-27,Crypto,1885540,1349547.142857143
2025-06-28,Crypto,753587,1357275.7142857143
2025-06-29,Crypto,1028200,1412446.2857142857
2025-06-30,Crypto,1635291,1367024.5714285714
2025-07-01,Crypto,1748268,1467591.4285714286
2025-07-02,Crypto,1792768,1493526.857142857
2025-07-03,Crypto,1788701,1518907.857142857
2025-07-04,Crypto,1092727,1405648.857142857
2025-07-05,Crypto,841940,1418270.7142857143
2025-07-06,Crypto,1215505,1445028.5714285714
2025-07-07,Crypto,2005583,1497927.4285714286
2025-07-08,Crypto,1971504,1529818.2857142857
2025-07-09,Crypto,2348967,1609275.2857142857
2025-07-10,Crypto,2645255,1731640.142857143
2025-07-11,Crypto,2644249,1953286.142857143
2025-07-12,Crypto,1160693,1998822.2857142857
2025-07-13,Crypto,1163475,1991389.4285714286
2025-07-14,Crypto,2746314,2097208.1428571427
2025-07-15,Crypto,2757078,2209433.0
2025-07-16,Crypto,2418481,2219363.5714285714
2025-07-17,Crypto,2599697,2212855.285714286
2025-07-18,Crypto,3085642,2275911.4285714286
2025-07-19,Crypto,995491,2252311.1428571427
2025-07-20,Crypto,996286,2228427.0
2025-07-21,Crypto,2742840,2227930.714285714
2025-07-22,Crypto,2382594,2174433.0
2025-07-23,Crypto,2145869,2135488.4285714286
2025-07-24,Crypto,1981997,2047245.5714285714
2025-07-25,Crypto,2646608,1984526.4285714286
2025-07-26,Crypto,902613,1971258.142857143
2025-07-27,Crypto,941796,1963473.857142857
2025-07-28,Crypto,2288522,1898571.2857142857
2025-07-29,Crypto,1986748,1842021.857142857
2025-07-30,Crypto,2243172,1855922.2857142857
2025-07-31,Crypto,2847922,1979625.857142857
2025-08-01,Crypto,3964312,2167869.285714286
2025-08-02,Crypto,1599385,2267408.1428571427
2025-08-03,Crypto,1620509,2364367.1428571427
2025-08-04,Crypto,4189339,2635912.4285714286
2025-08-05,Crypto,3569679,2862045.4285714286
2025-08-06,Crypto,2829541,2945812.4285714286
2025-08-07,Crypto,3090258,2980431.8571428573
2025-08-08,Crypto,3986750,2983637.285714286
2025-08-09,Crypto,1676072,2994592.5714285714
2025-08-10,Crypto,1710731,3007481.4285714286
2025-08-11,Crypto,4541929,3057851.4285714286
2025-08-12,Crypto,4147960,3140463.0
2025-08-13,Crypto,4558570,3387467.1428571427
2025-08-14,Crypto,6766668,3912668.5714285714
2025-08-15,Crypto,4644140,4006581.4285714286
2025-08-16,Crypto,1697473,4009638.714285714
2025-08-17,Crypto,1433544,3970040.5714285714
2025-08-18,Crypto,4265063,3930488.285714286
2025-08-19,Crypto,3984035,3907070.4285714286
2025-08-20,Crypto,3726773,3788242.285714286
2025-08-21,Crypto,3237333,3284051.5714285714
